Coder Name,Year,Category,Catalogue Number,Title,Advertiser,Product,Company,Country,Prize Description,Prize code,Video Name,Link to Asset,ID,Character ID,Asset Name,Character Name,Character Description,Character Prominence,Age,Age Specify,Character Sex,Character Gender,LGBTQ+,Animated Character,Animated Character - Specify,Race,Race Specify,Physical Disability,Cognitive Disability,Communication Disability,Activity,Tech,Setting,Vehicle,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Location,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom/School,Other Setting,Other Setting Specify,Sexually Revealing Clothing,State of Nudity,State of Nudity Specify,Shown as Body Part,Verbally Sexual Objectification,Intelligence,Funny,Occupation Shown,Occupation,Leader,Authority,Body Type,Entry Type,Body Type Other,Disordered/Restrictive Eating,Self Injury,Negative Talk,Body Modification,Visual Shame,Verbal Shame,Sizeist slurs,Punchline,Denied Personal Opportunities,Denied Professional Opportunities,Other Prejudice,Other Prejudice Specify,Lazy,Slow,Stupid,Loser,Inactive,Poorly dressed,Character Funny,Jolly,Clumsy,Alone,Comic Relief,Sidekick,Mamma Hen,Nympho,Fat to Fit Stereotype,Inspiration porn,view_video,vatic_link,file_name,char_montage
,2008.0,A02,A02/183,GOLF,DIAMOND OF CALIFORNIA,EMERALD NUTS,GOODBY SILVERSTEIN & PARTNERS San Francisco,USA,,0.0,2008_Film_A02_183_GOLF_1072,,1072.0,3.0,,,,,4.0,,,,,,,1.0,,,,,other,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A02_183_GOLF_1072.mp4,
,2008.0,A02,A02/183,GOLF,DIAMOND OF CALIFORNIA,EMERALD NUTS,GOODBY SILVERSTEIN & PARTNERS San Francisco,USA,,0.0,2008_Film_A02_183_GOLF_1072,,1072.0,2.0,,,,,4.0,,,,,,,1.0,,,,,other,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A02_183_GOLF_1072.mp4,
,2008.0,A02,A02/183,GOLF,DIAMOND OF CALIFORNIA,EMERALD NUTS,GOODBY SILVERSTEIN & PARTNERS San Francisco,USA,,0.0,2008_Film_A02_183_GOLF_1072,,1072.0,5.0,,,,,5.0,,,,,,,1.0,,,,,other,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A02_183_GOLF_1072.mp4,
,2008.0,A02,A02/183,GOLF,DIAMOND OF CALIFORNIA,EMERALD NUTS,GOODBY SILVERSTEIN & PARTNERS San Francisco,USA,,0.0,2008_Film_A02_183_GOLF_1072,,1072.0,4.0,,,,,4.0,,,,,,,1.0,,,,,other,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A02_183_GOLF_1072.mp4,
,2008.0,A23,A23/022,IT'S NOT EASY BEING GREEN,EDF ENERGY,EDF ENERGY SUPPLIER,EURO RSCG LONDON,UNITED KINGDOM,,0.0,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590,,590.0,1.0,,,,,9.0,,,,,,,1.0,,,,,other,0.0,other,10.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590.mp4,
,2008.0,A23,A23/022,IT'S NOT EASY BEING GREEN,EDF ENERGY,EDF ENERGY SUPPLIER,EURO RSCG LONDON,UNITED KINGDOM,,0.0,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590,,590.0,3.0,,,,,6.0,,,,,,,1.0,,,,,5.0,0.0,5.0,10.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,2.0,0.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590.mp4,
,2008.0,A23,A23/022,IT'S NOT EASY BEING GREEN,EDF ENERGY,EDF ENERGY SUPPLIER,EURO RSCG LONDON,UNITED KINGDOM,,0.0,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590,,590.0,2.0,,,,,1.0,,,,,,,1.0,,,,,7.0,0.0,other,10.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590.mp4,
,2008.0,A23,A23/022,IT'S NOT EASY BEING GREEN,EDF ENERGY,EDF ENERGY SUPPLIER,EURO RSCG LONDON,UNITED KINGDOM,,0.0,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590,,590.0,4.0,,,,,8.0,,,,,,,10.0,,,,,6.0,0.0,9.0,10.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A23_022_IT'S NOT EASY BEING GREEN_590.mp4,
,2008.0,A13,A13/018,JOY RIDE,SUBARU CANADA,SUBARU IMPREZA,DDB CANADA Toronto,CANADA,,0.0,2008_Film_A13_018_JOY RIDE_670,,670.0,1.0,,,,,6.0,,,,,,,1.0,,,,,10.0,10.0,driving,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A13_018_JOY RIDE_670.mp4,
,2008.0,A13,A13/018,JOY RIDE,SUBARU CANADA,SUBARU IMPREZA,DDB CANADA Toronto,CANADA,,0.0,2008_Film_A13_018_JOY RIDE_670,,670.0,0.0,,,,,6.0,,,,,,,1.0,,,,,10.0,10.0,driving,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008_Film_A13_018_JOY RIDE_670.mp4,
