Coder,Asset_Name,Brand,Lead_Country,Year_Produced,Year_Aired,Segment,Agency,Character_Name,Character_Description,Prominence,Animated,Animated Specify,Gender,Trans,Race,Race Other/Specify,API,Skin tone,Sexual Orientation,Queer,Age,Disabled,Disability Specify,Body Type,Shopping,Driving,Cleaning,Cooking,Working,Socializing,Nothing,EatingDrinking,Exercising,Other Activity,Activity Other Specify,Kitchen,Office,Car,Store,Outdoors,Living Room,Restaurant/Bar,Gym,Bedroom,Bathroom,Sporting Event,Classroom,Setting Other,Other Setting Specify,Revealing Clothing,Nudity,Visually Objectified,Verbally Objectified,Intelligent,Funny,Occupation,Leader,Authority,Q27a_Disordered_Eating,Q27b_Selfy_injury,Q27c_NegativeTalk,Q27d_Body_Modification,Q28a_Visual_Shame,Q28b_Verbal_Shame,Q28c_Sizeist_Slurs,Q28d_Punchline,Q28e_Denied_Personal_Opportunity,Q28f_Denied_Professional_Opportunity,Q28g_Other_Prejudice,Q28g_Prejudice_Other_Specify,Q29a_Lazy,Q29b_Physically_Slow,Q29c_Stupid,Q29d_Loser,Q29e_Inactive,Q29f_Poorly_Dressed,Q29g_Funny,Q29h_Jolly,Q29i_Clumsy,Q29j_Alone,Q30a_Comic_Relief,Q30b_Sidekick,Q30c_Mamma_Hen,Q30d_Nympho,Q31_Fat_to_Fit,Q32_Inspo_Porn,Q31_NOTES,Notes on Dwelling
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Mom,,2,0,,2,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,0,0,0,1,driving boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,3,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
Emma,Boat,Cesar,United States,2020,2020,Petcare,BBDO,Dad,,2,0,,1,0,1,,999,999,1,0,5,0,,3,0,0,0,0,0,0,0,0,0,1,riding in boat,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
CEspinoza,Birthday,Cesar,United States,2020,2020,Petcare,BBDO,Man with birthday hat,Man with birthday hat,2,0,,1,0,1,,999,999,2,0,5,0,,3,0,0,0,0,0,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Pamela,Fire,Cesar,United States,2020,2020,Petcare,BBDO,Man wearing brown,"Gray hair, brown and black checkered shirt, brown pants",1,0,,1,0,2,,999,999,1,0,7,0,,3,0,0,0,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Catch,Cesar,United States,2020,2020,Petcare,BBDO,Dad,Throws football,1,0,,1,0,2,,999,999,1,0,5,0,,3,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Romeo,Washboard,Cesar,United States,2020,2020,Petcare,BBDO,Older Man,older man walking into living room,1,0,,1,0,1,,999,999,1,0,7,0,,3,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Melanie,Sunny City and Rural - Sunday V9,Cesar,United States,2020,2020,Petcare,BBDO,Man,glasses,2,0,,1,0,1,,999,999,1,0,2,0,,3,0,0,0,0,0,0,0,0,0,1,sitting with dog,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
Emma,Sunny City and Rural - Sunday V7,Cesar,United States,2020,2020,Petcare,BBDO,Dog Owner,outside with dog,2,0,,1,0,1,,999,999,1,0,3,0,,3,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class single-family home
Melanie,Sunny City and Rural - Sunday V5,Cesar,United States,2020,2020,Petcare,BBDO,Man,brown hair,2,0,,1,0,1,,999,999,1,0,3,0,,3,0,0,0,0,0,0,0,0,0,1,playing with dog,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class; likely single-family home but could be apartment
CEspinoza,"Cloudy and Rainy City and Rural - Wednesday, Saturday and Sunday",Cesar,United States,2020,2020,Petcare,BBDO,Man with dog,Man with dog,2,0,,1,0,6,,999,999,1,0,3,0,,3,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10.0,10,10,10,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,Middle class; likely single-family home but could be apartment
